name,line
Kazuya Kinoshita,Hey! How are you?
Chizuru Ichinose,I'm doing good, what about you?
Chizuru Ichinose,An orange shirt and striped pants…
Chizuru Ichinose,"You must be Kazuya-Kun, right?"
Chizuru Ichinose,You’re in college? What year?
Kazuya Kinoshita,F-First year.
Chizuru Ichinose,"What? Me, too!"
Kazuya Kinoshita,"Oh, but I took a gap year."
Chizuru Ichinose,"Ah, you are older than me then."
Chizuru Ichinose,Oops.
Kazuya Kinoshita,Damn…
Kazuya Kinoshita,She’s hot!
Kazuya Kinoshita,Anyone dating her would be living the life!
Kazuya Kinoshita,Whoa.
Chizuru Ichinose,"Hey, uh…"
Chizuru Ichinose,Do you mind?
Kazuya Kinoshita,"Oh, sure. "
Kazuya Kinoshita,Crap… I wanna leave.
Kazuya Kinoshita,I wanna go home and sleep.
Kazuya Kinoshita,"Oh, so we’re following the date plan I sent by text."
Chizuru Ichinose,This is my first time at an aquarium.
Kazuya Kinoshita,Really? That’s unusual.
Chizuru Ichinose,Look that fish is cute.
Kazuya Kinoshita,Oh that’s the lowlight tetra. 
Chizuru Ichinose,Do you know a lot about fish?
Kazuya Kinoshita,I-I guess? I love hitting up aquariums.
Chizuru Ichinose,Wow!
Chizuru Ichinose,I’m so glad my first aquarium visit was with you!
Chizuru Ichinose,"Well, I had lots of fun today."
Chizuru Ichinose,"Thanks, Kazuya-kun! See you! "
Kazuya Kinoshita,O-Outrageous!
Kazuya Kinoshita,It was all an act!?
Kazuya Kinoshita,Holding hand before the end is just part of her routine?!
Kazuya Kinoshita,How dare she toy with my heart?! 
Kazuya Kinoshita,I just need to give her a piece of my mind! 
Chizuru Ichinose,"Kazuya-Kun, did you wait long?"
Chizuru Ichinose,I was worried you might not like this hairdo.
Chizuru Ichinose,What do you think?
Kazuya Kinoshita,I-I don’t hate it or anything.
Chizuru Ichinose,Thank goodness!
Kazuya Kinoshita,Damn it! She’s so cute!
Chizuru Ichinose,Fee received. Thank you.
Kazuya Kinoshita,"Hey, doesn’t it make you feel empty inside?"
Chizuru Ichinose,Huh?
Kazuya Kinoshita,"Y’know, going on dates with guys you don’t even like."
Kazuya Kinoshita,And getting paid for it. 
Kazuya Kinoshita,Doesn’t it get to you? 
Chizuru Ichinose,No. I love my job. 
Chizuru Ichinose,"I get to meet people like you, after all."
Kazuya Kinoshita,Huh? W-We’re not ma- 
Chizuru Ichinose,We’re dating.
Kazuya Kinoshita,"No, we’re not even that."
Kazuya Kinoshita,"We're total strangers, aren't we? "
Kazuya Kinoshita,Technically.
Cashier,"Oh, uh… I guess I’ll split your purchases up."
Chizuru Ichinose,"Sure. We can be whatever you wants us to be, Kazuya-kun."
Chizuru Ichinose,"Look, Kazuya- kun! Neon tetras! "
Kazuya Kinoshita,"Oh, yeah."
Chizuru Ichinose,Cute! 
Chizuru Ichinose,"Garden eels hide in the sand because they’re afraid, right?"
Kazuya Kinoshita,Wow… she must have read up on them.
Kazuya Kinoshita,She did her homework… all for today’s date.
Kazuya Kinoshita,Enough already.
Kazuya Kinoshita,"Seriously, what is that gonna achieve?"
Kazuya Kinoshita,Is that just your professionalism? It’s meaningless! 
Kazuya Kinoshita,Not like these relationships last more than a day!
Chizuru Ichinose,"Hey, what’s gotten into you, Kazuya-kun?"
Kazuya Kinoshita,You must break up immediately!
Kazuya Kinoshita,It doesn’t matter how much you care for your partner!
Chizuru Ichinose,Let’s get out of here. 
Kazuya Kinoshita,I know that was stupid…
Kazuya Kinoshita,But I got it off of my chest…
Kazuya Kinoshita,Why do all these girls get into fake relationships with people they don’t even like?!
Chizuru Ichinose,"Okay, look…"
Chizuru Ichinose,What is wrong with you? Are you stupid?!
Chizuru Ichinose,Yelling like that in a public place… Way to get everyone’s eyes on us.
Chizuru Ichinose,"What’s your problem, anyway?"
Chizuru Ichinose,"All day you’ve been like, “Don’t you feel empty inside?” And “We’re total strangers!”"
Chizuru Ichinose,Seriously are you stupid? 
Kazuya Kinoshita,U-Uh…
Chizuru Ichinose,I’m your rental girlfriend. This is just how it works! 
Chizuru Ichinose,Weren’t you the one who made the request?!
Chizuru Ichinose,"You saw the user agreement and clicked “I agree”, didn’t you?!"
Kazuya Kinoshita,I did… I’m sorry.
Chizuru Ichinose,"Also, why did you give me a one-star review?! "
Chizuru Ichinose,Did I do anything wrong on our date?! 
Chizuru Ichinose,"That brought my rating down a whole 0.3 points, you know!"
Chizuru Ichinose,I’d only ever gotten five-star reviews before that.
Kazuya Kinoshita,Here we go.
Kazuya Kinoshita,This is the real Mizuhara Chizuru.
Chizuru Ichinose,"I’ve always given this job my all, including this date. "
Chizuru Ichinose,I don’t even like fish but I went and bought a book about them for this date.
Kazuya Kinoshita,She’s a completely different person than before.
Kazuya Kinoshita,All I can say for sure is…
Chizuru Ichinose,Could you not get in the way of my work?
Chizuru Ichinose,I can’t believe you!
Chizuru Ichinose,"Ugh, this sucks! Guess I’m getting another one-star review!"
Kazuya Kinoshita,I’m totally in the wrong.
Chizuru Ichinose,"So, what now?"
Chizuru Ichinose,Do you want to continue?
Chizuru Ichinose,I’ll tag along if you want to keep going.
Kazuya Kinoshita,Hello? What? 
Chizuru Ichinose,Hey! We’re not done talking here! 
Kazuya Kinoshita,What? Seriously? 
Kazuya Kinoshita,Got it! 
Kazuya Kinoshita,My grandma collapsed…
Chizuru Ichinose ,Huh?
Kazuya Kinoshita,I gotta go! 
Chizuru Ichinose,H-Hey! 
Chizuru Ichinose,You still have time left! 
Grandma Nagomi,It’s not such a big deal. I only fainted.
s Mother,"But of course we would worry, Mother! Your health is important! "
s Father,"Mom, you need to realise that you aren’t young anymore."
s Father,We do have a shop to run! 
s Father,And this isn’t the first time you’ve been hospitalised.
Grandma Nagomi,Does this room have WI-FI? 
s Mother,The phone is probably a bad idea.
s Father,I’ll get you some magazines for senior citizens! 
s Mother,Would you like something soft to eat?
Grandma Nagomi,Don’t act like I’m on my last legs! 
Grandma Nagomi,"Anyway, who might that young lady be?"
s Mother,I brought her in because she was with Kazuya.
s Mother,Are you his classmate from college?
Chizuru Ichinose,E-Er…
s Mother,"You couldn’t be his girlfriend, right?"
s Father,"No way, honey. This is Kazuya we’re talking about. "
s Mother,Right. It’s Kazuya. 
Grandma Nagomi,Kazuya? 
Kazuya Kinoshita,G-Girlfriend…
Kazuya Kinoshita,She’s my girlfriend! 
Chizuru Ichinose,It’s a pleasure to meet you.
Chizuru Ichinose,My name is Mizuhara Chizuru. 
Kazuya Kinoshita,Perfect.
Chizuru Ichinose,"It’s a shame I had to introduce myself under such circumstances, but I’m glad to meet you all nonetheless. "
Grandma Nagomi,Get me discharged! 
s Father,What?!
Grandma Nagomi,We need to get home and prepare for a party!
s Father,"Don’t be absurd, Mom! "
Grandma Nagomi,Listen to yourself!
Grandma Nagomi,Kazuya”s brought home a real hale and hearty hottie!
Chizuru Ichinose,H-Hale and hearty hottie?! 
Grandma Nagomi,Can you believe it? Our Kazuya…
s Father,Mom!
Grandma Nagomi,He has such as beautiful girlfriend! Do you have any idea what this means?!
Grandma Nagomi,"Our Kazuya, of all people! "
Grandma Nagomi,After showing no signs of anything resembling a love life for twenty whole years. 
Grandma Nagomi,Kazuya… Our Kazuya has…
s Father,"We’re heading back to the store. Watch over her, Kazuya."
Kazuya Kinoshita,Sure.
s Father,"And make sure you walk your girlfriend back, okay? "
s Mother,"Chizuru-san, come visit our home sometime."
Chizuru Ichinose,Thank you.
Grandma Nagomi,"By the way, you two…"
Grandma Nagomi,Have you had sex already?
Kazuya Kinoshita,Gran! 
Grandma Nagomi,Physical compatibility matters a lot in a marriage.
Kazuya Kinoshita,M-Marriage? 
Chizuru Ichinose,Kazuya-san and I have talked about it. 
Chizuru Ichinose,We both want to take the things seriously. 
